Questions,Unnamed: 1,Unnamed: 2,Unnamed: 3,duplicate,tags
"Describe one of your academic projects.  Focus on your role, the technologies used, the challenges faced, and what you learned from the experience.  If possible, mention any design choices you made and why.",,,,False,"['projects', 'one', 'academic projects', 'projects focus']"
Explain the difference between `==` and `===` in JavaScript (or your preferred language).  Give an example.,,,,True,"['difference javascript', 'javascript', 'javascript preferred']"
What is the difference between a stack and a queue?  Give real-world examples of when you might use each.,,,,True,"['queue', 'stack queue', 'stack']"
"Describe your understanding of Object-Oriented Programming (OOP) principles (encapsulation, inheritance, polymorphism). Give a simple example.",,,,True,"['object oriented', 'object-oriented programming', 'oop principles', 'programming oop']"
Write a function to reverse a string in JavaScript (or your preferred language).,,,,False,"['reverse', 'javascript', 'reverse string', 'function reverse']"
"Given an array of numbers, write a function to find the second largest number.  Handle edge cases like arrays with less than two elements or duplicate largest numbers.",,,,False,"['duplicate largest', 'largest number', 'second', 'largest numbers', 'less than two']"
What are the different data types in Python? Give an example of each.,,,,False,"['python example', 'types python', 'data types']"
Explain the difference between GET and POST HTTP requests. When would you use each?,,,,False,"['requests use', 'post http', 'http requests']"
"Walk me through one of your academic projects. Explain your role, the challenges you faced, and what you learned from the experience. Focus on the technical aspects and your problem-solving approach.",,,,False,"['projects', 'projects explain', 'academic projects']"
Explain the difference between a compiler and an interpreter.  Give examples of languages that use each.,,,,False,"['interpreter', 'compiler interpreter', 'interpreter examples']"
"What are the basic data structures you are familiar with? Describe one in detail, including its advantages and disadvantages.",,,,False,"['data', 'data structures', 'one', 'basic data']"
Describe your understanding of Object-Oriented Programming (OOP) principles.  Give a real-world example illustrating these principles.,,,,False,"['object oriented', 'object-oriented programming', 'programming oop', 'oop principles']"
"If this role involves Java,  What is your experience with Java? What are some common Java libraries you've used?",,,,False,"['java experience', 'java', 'java libraries', 'involves java']"
"If this role involves Python, What are some Python libraries you are familiar with?  Can you describe a situation where you used a specific library to solve a problem?",,,,False,"['involves python', 'python', 'python libraries']"
"If this role involves Databases, What is your understanding of SQL?  Write a simple SQL query to retrieve data from a table.",,,,False,"['understanding sql', 'sql', 'involves databases']"
Walk me through your most challenging academic project.  What problems did you encounter? How did you overcome them? What did you learn from the experience?,,,,True,"['academic project', 'challenging', 'challenging academic']"
"Tell me about a time you worked effectively as part of a team. What was your role, and what challenges did you face?",,,,True,"['effectively team', 'team role', 'role challenges']"
"Describe a situation where you had to deal with a conflict within a team. How did you approach the situation, and what was the outcome?",,,,False,"['deal conflict', 'conflict team', 'conflict']"
"Why are you interested in this role, and what are your career aspirations?",,,,False,"['role career', 'career aspirations', 'career']"
Describe your preferred work style. Do you prefer working independently or collaboratively? Why?,,,,True,"['collaboratively', 'working independently', 'independently collaboratively']"
"Our company culture values [mention company values, e.g., innovation, collaboration, customer focus]. How do your values align with ours?",,,,False,"['company values', 'company culture', 'culture values']"
Explain the difference between `==` and `===` in JavaScript.  Give an example.,,,,True,"['difference javascript', 'javascript', 'javascript example']"
What is the DOM and how do you interact with it using JavaScript?,,,,True,"['javascript', 'using javascript', 'dom', 'dom interact']"
"Describe the difference between `let`, `const`, and `var` in JavaScript. When would you use each one?",,,,True,"['const var', 'var', 'javascript', 'var javascript']"
"What is your experience with HTML, CSS, and JavaScript frameworks like React, Angular, or Vue.js? (If any)",,,,False,"['frameworks like', 'html', 'vue.js', 'javascript frameworks', 'frameworks']"
Write a simple JavaScript function to check if a given string is a palindrome.,,,,False,"['string palindrome', 'javascript', 'palindrome', 'javascript function']"
"How would you handle asynchronous operations in JavaScript (e.g., fetching data from an API)?  Provide an example using `async`/`await` or Promises.",,,,False,"['async await', 'javascript', 'asynchronous operations', 'handle asynchronous']"
"Walk me through one of your academic projects that involved frontend development.  Explain your role, the technologies used, and the challenges you faced.",,,,True,"['frontend development', 'involved frontend', 'frontend']"
Do you have any questions for me about the role or the company?,,,,False,"['role', 'role company', 'questions role']"
"Explain the difference between a stack and a queue, providing real-world examples of when you might use each.",,,,True,"['queue', 'queue providing', 'stack queue']"
What is the difference between an array and a linked list?  When would you choose one over the other?,,,,True,"['array', 'linked list', 'one', 'array linked']"
Describe the concept of Big O notation and its importance in algorithm analysis. Give an example of an O(n) and an O(n^2) operation.,,,,True,"['big notation', 'algorithm', 'algorithm analysis']"
"What are the different types of database systems you are familiar with (e.g., relational, NoSQL)? Briefly explain their differences and use cases.",,,,False,"['database systems', 'database', 'relational nosql']"
"What is RESTful API and explain the common HTTP methods used (GET, POST, PUT, DELETE)?",,,,False,"['http methods', 'api explain', 'post', 'restful api']"
Explain your understanding of the client-server architecture and how it applies to web applications.,,,,False,"['understanding client', 'server architecture', 'client server']"
Write a simple function in your preferred language to handle a basic HTTP GET request and print the response status code.,,,,False,"['print response', 'response status', 'status code']"
"What is version control (e.g., Git)?  Have you used it before? If so, describe a scenario where it was helpful.",,,,False,"['git', 'git used', 'control git', 'version control']"
"What are some common backend frameworks you are familiar with (e.g., Node.js, Spring Boot, Django)? Briefly describe their strengths and weaknesses.",,,,False,"['backend frameworks', 'django', 'spring boot', 'frameworks', 'common backend']"
"Walk me through an academic project you are particularly proud of. Describe your role, the challenges you faced, and what you learned.",,,,False,"['academic project', 'academic', 'walk academic']"
"In that project, what was your biggest contribution, and how did you ensure its quality and functionality?",,,,False,"['project biggest', 'project', 'biggest contribution']"
"Explain the difference between a stack and a queue, and give examples of when you might use each.",,,,False,"['queue', 'stack queue', 'queue examples']"
"What are the different types of database systems you are familiar with? Briefly describe their characteristics (e.g., relational vs. NoSQL).",,,,False,"['database systems', 'database', 'vs nosql']"
Describe the concept of RESTful APIs.  What are some common HTTP methods used in REST APIs and what do they do?,,,,False,"['http methods', 'restful apis', 'rest apis']"
Write a Python function to reverse a string.  Consider edge cases like empty strings or strings with special characters.,,,,False,"['reverse', 'reverse string', 'function reverse']"
Explain how you would handle exceptions in Python. Provide an example.,,,,False,"['python', 'handle exceptions', 'exceptions python', 'exceptions']"
"What are some common Python libraries used for backend development, and what are their purposes? (e.g., Flask, Django)",,,,False,"['python libraries', 'backend development', 'flask', 'django', 'python']"
"Can you explain the difference between JDK, JRE, and JVM?",,,,True,"['jdk', 'jre', 'difference jdk', 'jvm', 'jdk jre']"
"Walk me through your most challenging academic project.  Explain the problem, your solution, and what you learned from the experience.  Focus on your contributions and the technologies used.",,,,False,"['academic project', 'challenging', 'challenging academic']"
"Explain the difference between a stack and a queue, and provide real-world examples of where each data structure would be used.",,,,True,"['queue', 'difference stack', 'stack queue']"
What are the different types of database systems you are familiar with?  Explain the strengths and weaknesses of at least two.,,,,False,"['at least two', 'database systems', 'database', 'types database']"
"Describe your understanding of RESTful APIs and HTTP methods (GET, POST, PUT, DELETE).  Give an example of how you might use them in a simple application.",,,,False,"['http methods', 'apis http', 'post', 'restful apis']"
Write a Python function to reverse a string. Explain your approach and consider edge cases like an empty string or a string with special characters.,,,,False,"['reverse', 'reverse string', 'function reverse']"
Write a Python function to find the factorial of a given non-negative integer.  Discuss time and space complexity.,,,,False,"['factorial given', 'factorial', 'function factorial']"
"Explain the concept of object-oriented programming (OOP) and give examples of how OOP principles (encapsulation, inheritance, polymorphism) are used in Python.",,,,False,"['oriented programming', 'oop examples', 'python', 'programming oop']"
"Walk me through one of your academic projects. Explain the problem you were trying to solve, the technologies you used, the challenges you faced, and what you learned from the experience.  Focus on your role and contributions.",,,,False,"['projects', 'academic projects', 'solve technologies']"
Do you have any questions for me?,,,,True,['questions']
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
What is the difference between a stack and a queue data structure?  Provide real-world examples of where each might be used.,,,,True,"['queue data', 'difference stack', 'stack queue']"
Describe what an algorithm is and give a simple example of an algorithm you've encountered.,,,,True,"['algorithm', 'algorithm simple', 'example algorithm']"
What is a relational database?  What are some common examples of relational database management systems (RDBMS)?,,,,True,"['database management', 'systems rdbms', 'relational database']"
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"['sql', 'age column', 'users age', 'simple sql']"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands.",,,,True,"['sql', 'update delete', 'sql commands', 'delete sql']"
"What is Git, and why is it important in software development?",,,,True,"['git', 'software development', 'git important']"
"Explain the difference between `git add`, `git commit`, and `git push`.",,,,True,"['commit git', 'git commit', 'git push']"
"Describe a typical software development lifecycle (SDLC) model. (e.g., Waterfall, Agile).",,,,True,"['lifecycle sdlc', 'waterfall, agile', 'sdlc', 'software development', 'development lifecycle']"
"Walk me through one of your academic projects.  Explain the problem you were solving, your approach, the technologies you used, and any challenges you encountered.",,,,True,"['approach technologies', 'projects explain', 'academic projects']"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
Describe the concept of Object-Oriented Programming (OOP).  Name and briefly explain three core principles of OOP.,,,,True,"['object oriented', 'oriented programming', 'programming oop', 'object-oriented programming', 'three']"
What is a stack and a queue?  Explain their differences and provide real-world examples of where they might be used.,,,,True,"['queue', 'stack queue', 'queue explain']"
"What is a relational database?  What is a SQL query, and what are some basic SQL commands you know (e.g., SELECT, FROM, WHERE, etc.)?",,,,True,"['database sql', 'select', 'sql', 'relational database', 'basic sql']"
Write a simple SQL query to retrieve all rows from a table named 'Users' where the 'age' column is greater than 25.,,,,True,"['sql', 'age column', 'users age', 'simple sql']"
Explain the difference between primary key and foreign key constraints in a relational database.,,,,True,"['foreign key', 'relational database', 'primary key']"
"What is Git, and what are some common Git commands you've used (e.g., `git clone`, `git add`, `git commit`, `git push`)?",,,,True,"['commit git', 'git', 'git commands', 'git commit']"
Explain the concept of branching in Git. Why is it useful?,,,,True,"['git', 'branching', 'branching git', 'git useful']"
Describe a typical software development lifecycle (SDLC).  Name at least three common SDLC models.,,,,False,"['lifecycle sdlc', 'at least three', 'sdlc models', 'sdlc', 'development lifecycle']"
"Walk me through your most challenging academic project. What technologies did you use? What problems did you encounter, and how did you overcome them? What did you learn from this experience?",,,,True,"['academic project', 'project technologies', 'challenging academic']"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
What is the difference between an array and a linked list? When would you choose one over the other?,,,,True,"['array', 'linked list', 'one', 'array linked']"
Describe a situation where you encountered a bug in your code. How did you approach debugging and resolving it?,,,,False,"['approach debugging', 'bug code', 'debugging']"
What is a relational database? Name a few examples of relational database management systems (RDBMS).,,,,True,"['systems rdbms', 'relational database', 'database examples']"
Write a simple SQL query to select all users from a table named 'users' where the age is greater than 25.,,,,True,"['select users', 'sql', 'age greater', 'users age']"
"Explain the difference between `SELECT`, `UPDATE`, and `DELETE` in SQL.",,,,True,"['sql', 'update delete', 'select update', 'delete sql']"
"What is Git, and why is it important in software development?",,,,True,"['git', 'software development', 'git important']"
"Explain the difference between `git commit`, `git push`, and `git pull`.",,,,True,"['commit git', 'git commit', 'git push']"
"Describe a typical software development lifecycle (SDLC) model. (e.g., Waterfall, Agile).",,,,True,"['lifecycle sdlc', 'waterfall, agile', 'sdlc', 'software development', 'development lifecycle']"
"Walk me through one of your academic projects. Describe the problem you were solving, your approach, the technologies you used, and any challenges you faced.",,,,True,"['approach technologies', 'projects', 'academic projects']"
Explain the difference between a list and a tuple in Python.  When would you use one over the other?,,,,True,"['tuple python', 'python', 'tuple', 'list tuple']"
Describe the concept of loops (for and while) in Python. Provide a simple example of each.,,,,True,"['loops python', 'loops', 'python']"
Explain what a function is and how you would define and call a function in Python.  Give an example.,,,,False,"['python', 'function python', 'define function', 'explain function']"
"What is object-oriented programming (OOP)? Explain the four main principles of OOP (encapsulation, inheritance, polymorphism, abstraction).",,,,True,"['object oriented', 'programming oop', 'oop explain', 'four', 'oop']"
"Have you worked with any Python libraries? (e.g., NumPy, Pandas, Requests). If so, describe your experience with one.",,,,False,"['pandas requests', 'python libraries', 'libraries numpy', 'python']"
"Explain the concept of exception handling in Python using `try`, `except`, and `finally` blocks.  Give a simple example.",,,,True,"['handling python', 'exception handling', 'using try']"
What is a module in Python? How do you import and use a module?,,,,False,"['use module', 'python import', 'module python']"
"What is your understanding of version control systems, particularly Git? Have you used Git in any of your projects?",,,,True,"['git', 'git projects', 'particularly git', 'version control']"
"Walk me through one of your academic projects that involved Python programming. Describe your role, the challenges you faced, and what you learned.",,,,False,"['involved python', 'python', 'python programming']"
"In your projects, how did you approach debugging and testing your code? What strategies did you use to ensure the quality of your work?",,,,False,"['approach debugging', 'debugging', 'debugging testing']"
"Tell me about a time you worked on a team project. What was your role, and what did you learn from the experience?",,,,False,"['team project', 'project role', 'worked team']"
"Describe a situation where you faced a challenging problem while working on a project. How did you approach it, and what was the outcome?",,,,False,"['faced challenging', 'working project', 'challenging']"
"Why are you interested in this Python Developer position, and what are your career goals?",,,,False,"['python', 'interested python', 'python developer']"
How do you handle pressure and tight deadlines?,,,,True,"['deadlines', 'handle pressure', 'tight deadlines']"
Can you explain the difference between a compiler and an interpreter?  Give an example of a language that uses each.,,,,True,"['interpreter', 'compiler interpreter', 'interpreter example']"
Describe the concept of an array and a linked list. What are the advantages and disadvantages of each?,,,,True,"['linked list', 'array linked', 'list advantages']"
"Explain the difference between inline, block, and inline-block elements in CSS.  Give examples of when you might use each.",,,,False,"['inline block', 'css', 'block inline', 'difference inline']"
"What is the difference between `let`, `const`, and `var` in JavaScript? When would you choose to use each one?",,,,True,"['const var', 'javascript', 'let const', 'var javascript']"
"Tell me about a front-end project you're particularly proud of.  Describe your role, the technologies used, any challenges you faced, and what you learned from the experience.",,,,False,"['proud role', 'end project', 'proud']"
"Describe a situation where you had to work collaboratively on a project.  What was your role, and how did you contribute to the team's success?",,,,False,"['collaboratively project', 'project role', 'work collaboratively']"
"Why are you interested in this role, and how do you see yourself contributing to our team?",,,,False,"['role', 'contributing team', 'role contributing']"
What steps do you take to ensure effective communication with team members?,,,,False,"['effective communication', 'communication', 'communication team']"
Explain the difference between an array and a linked list.  When would you choose one over the other?,,,,True,"['array', 'linked list', 'one', 'array linked']"
What is the difference between `==` and `equals()` in Java (or your preferred language)? Give an example.,,,,False,"['java', 'equals java', 'difference equals', 'equals']"
Describe a time you debugged a particularly challenging piece of code. What was your approach?,,,,False,"['debugged', 'debugged particularly', 'time debugged']"
"If you listed experience with Python, explain what is the concept of a class and how to define a simple class in Python?",,,,False,"['python explain', 'class python', 'python']"
"If you listed experience with SQL, write a simple SQL query to retrieve data from a table.  (Adapt based on candidate's claimed SQL knowledge)",,,,False,"['sql knowledge', 'sql', 'claimed sql', 'adapt']"
"If you listed experience with JavaScript, what are some common JavaScript frameworks or libraries you've used or are familiar with?",,,,False,"['common javascript', 'javascript', 'javascript frameworks', 'javascript common']"
"Walk me through your most challenging academic project. What were the biggest hurdles you faced, and how did you overcome them? What did you learn from this experience?",,,,False,"['biggest hurdles', 'challenging', 'challenging academic']"
"Tell me about a time you had to work in a team on a project. What was your role, and what were the challenges you faced in collaboration? How did you resolve any conflicts?",,,,False,"['team project', 'faced collaboration', 'project role']"
"Why are you interested in this specific role at our company? What are your career goals, and how does this position fit into your plan?",,,,False,"['role company', 'company career', 'specific role']"
Describe your preferred work style. Do you prefer working independently or as part of a team? Explain your strengths and weaknesses.,,,,False,"['working independently', 'work style', 'independently team']"
"Our company values [insert 2-3 company values e.g., innovation, collaboration, customer focus].  Can you give me an example of a time you demonstrated one of these values?",,,,False,"['one', '2-3', 'values innovation', 'company values', 'values']"
Can you explain the difference between a compiler and an interpreter?  Give an example of a language that uses each.,,,,True,"['interpreter', 'compiler interpreter', 'interpreter example']"
Describe the concept of an algorithm and provide a simple example of an algorithm you've used or encountered.,,,,True,"['algorithm', 'algorithm provide', 'example algorithm']"
"If you were working with Python, how would you handle exceptions to prevent your program from crashing?  Give a simple code example.",,,,False,"['program crashing', 'python', 'handle exceptions', 'exceptions prevent']"
Write a simple SQL query to retrieve all rows from a table named 'Customers' where the 'Country' column is equal to 'USA'.,,,,True,"['sql query', 'usa', 'customers country', 'sql', 'country column']"
"Describe one of your academic projects.  What was your role, what challenges did you face, and what did you learn from the experience?",,,,False,"['academic', 'academic projects', 'one', 'projects']"
"During your project, did you encounter any disagreements with your team members? How did you resolve them?",,,,False,"['disagreements team', 'encounter disagreements', 'disagreements']"
Tell me about a time you had to explain a complex technical concept to someone without a technical background. How did you approach it?,,,,False,"['technical concept', 'concept technical', 'complex technical']"
Why are you interested in working for [Company Name]?,,,,True,"['working company', 'interested working', 'company']"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"['compilation interpretation', 'interpreted language', 'compiled language']"
Describe the concept of an algorithm and give a simple example of an algorithm you might use in everyday life.,,,,False,"['algorithm use', 'algorithm simple', 'example algorithm']"
"Assuming you are familiar with Python, explain the difference between a list and a tuple. When would you choose one over the other?",,,,False,"['one', 'python explain', 'list tuple', 'python', 'tuple choose']"
Write a simple SQL query to select all rows from a table named 'Customers' where the 'Country' column is equal to 'USA'.,,,,True,"['sql query', 'usa', 'customers country', 'sql', 'country column']"
"Walk me through one of your academic projects. Explain your role, the challenges you faced, and what you learned from the experience.",,,,True,"['academic', 'academic projects', 'walk academic']"
"In your project, did you work as part of a team? Describe your role and how you collaborated with your teammates.  Did you encounter any conflicts, and if so, how did you resolve them?",,,,False,"['role collaborated', 'collaborated teammates', 'team role']"
Tell me about a time you had to explain a complex technical concept to someone who wasn't technically proficient. How did you approach it?,,,,False,"['technical concept', 'explain complex', 'complex technical']"
Why are you interested in working for [Company Name]?,,,,True,"['working company', 'interested working', 'company']"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"['compilation interpretation', 'interpreted language', 'compiled language']"
"What are the basic data types in your preferred programming language (e.g., Java, Python, C++)? Explain how they are used.",,,,True,"['java', 'data types', 'basic data', 'programming language']"
Describe the concept of an algorithm and give a simple example of an algorithm you have encountered.,,,,True,"['algorithm', 'algorithm simple', 'example algorithm']"
Explain what a function/method is and its purpose in programming. Provide a simple example in your preferred programming language.,,,,False,"['function method', 'method purpose', 'explain function']"
"What is a relational database? What are tables, rows, and columns in a relational database?",,,,True,"['database tables', 'database', 'relational database']"
Write a simple SQL query to select all rows from a table named 'Students' where the 'GPA' column is greater than 3.5.,,,,True,"['greater than 3.5', 'gpa column', 'gpa', 'sql', 'select rows']"
"What is the difference between the SQL commands `SELECT`, `INSERT`, `UPDATE`, and `DELETE`?",,,,True,"['sql', 'difference sql', 'update delete', 'sql commands']"
Explain the concept of primary keys and foreign keys in a relational database. Why are they important?,,,,True,"['primary keys', 'keys relational', 'foreign keys']"
What is a database index and how can it improve query performance?,,,,True,"['database index', 'index', 'index improve']"
"What is Git, and why is it important in software development?",,,,True,"['git', 'software development', 'git important']"
"Explain the difference between `git commit`, `git push`, and `git pull`.",,,,True,"['commit git', 'git commit', 'git push']"
What are the main principles of Object-Oriented Programming in Java?,,,,True,"['programming java', 'object oriented', 'object-oriented programming', 'java']"
"Describe a typical software development lifecycle (SDLC) model. (e.g., Waterfall, Agile).",,,,True,"['lifecycle sdlc', 'waterfall, agile', 'sdlc', 'software development', 'development lifecycle']"
"Walk me through one of your academic projects.  Explain the problem you solved, your approach, and the technologies you used.",,,,True,"['approach technologies', 'technologies', 'academic projects']"
"What was your role in this project, and what challenges did you face? How did you overcome them?",,,,True,"['role project', 'challenges', 'project challenges']"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"['compilation interpretation', 'interpreted language', 'compiled language']"
Describe the concept of an algorithm and provide a simple algorithm for finding the largest number in a list of numbers.,,,,True,"['algorithm', 'finding largest', 'largest number']"
"Let's say you're using [Candidate's preferred language - e.g., Python].  How would you handle exceptions (errors) in your code? Give a simple example.",,,,False,"['candidate', 'handle exceptions', 'exceptions', 'exceptions errors']"
Write a simple SQL query to retrieve all rows from a table named 'Customers' where the 'City' column is equal to 'London'.,,,,True,"['customers city', 'city column', 'sql', 'retrieve rows', 'london']"
"Can you describe one of your academic projects? Focus on your role, the challenges you faced, and the technologies you used. What was your biggest learning from this project?",,,,False,"['projects', 'academic projects', 'learning project']"
Explain the difference between a compiler and an interpreter.  Give an example of a language that uses each.,,,,True,"['interpreter', 'compiler interpreter', 'interpreter example']"
"What are the basic data types in your preferred programming language (e.g., Java, Python, C++)?  Give examples of each.",,,,True,"['java', 'data types', 'basic data', 'programming language']"
"Describe the concept of an algorithm and give a simple example of an algorithm you've used or implemented (e.g., searching for an element in an array).",,,,False,"['algorithm', 'algorithm simple', 'example algorithm']"
What is a relational database?  What are some common relational database management systems (RDBMS)?,,,,True,"['database management', 'systems rdbms', 'relational database']"
Write a simple SQL query to select all rows from a table named 'Students' where the 'GPA' column is greater than 3.5.,,,,True,"['greater than 3.5', 'gpa column', 'gpa', 'sql', 'select rows']"
Explain the difference between a primary key and a foreign key in a relational database.,,,,True,"['foreign key', 'relational database', 'primary key']"
"What is Git? Explain the common Git commands you are familiar with (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`, `git branch`).",,,,True,"['commit git', 'git', 'git explain', 'git commands']"
"Describe a typical software development lifecycle (SDLC).  What are some common methodologies used (e.g., Agile, Waterfall)?",,,,True,"['agile', 'lifecycle sdlc', 'sdlc', 'software development', 'development lifecycle']"
How do you resolve merge conflicts when using Git?,,,,False,"['git', 'using git', 'resolve merge', 'merge conflicts']"
"Walk me through one of your academic projects.  Explain the problem you were solving, your approach, the technologies you used, and any challenges you faced.",,,,True,"['approach technologies', 'projects', 'academic projects']"
Explain the difference between `==` and `.equals()` in Java.  Give an example.,,,,True,"['java', 'equals java', 'difference equals', 'equals']"
How does Java achieve platform independence?,,,,True,"['java', 'does java', 'platform independence']"
What are the different data types in Java?  Give examples of when you might use each.,,,,True,"['java', 'java examples', 'data types', 'types java']"
"Describe the concept of object-oriented programming (OOP) and its four main principles (Abstraction, Encapsulation, Inheritance, Polymorphism). Give a simple example.",,,,True,"['four', 'object oriented', 'oriented programming', 'programming oop']"
What is an exception in Java? How do you handle exceptions using `try-catch` blocks?,,,,False,"['java', 'exception java', 'handle exceptions', 'exceptions using']"
What is the difference between a List and a Set in Java? When would you choose one over the other?,,,,False,"['one', 'java choose', 'list set', 'java', 'set java']"
Explain your understanding of Java Collections Framework. Name at least three common implementations and their use cases.,,,,False,"['at least three', 'java collections framework', 'collections', 'java collections', 'collections framework']"
"Walk me through a significant academic project you've worked on.  Describe your role, the challenges you faced, and what you learned from the experience.  Focus on the technical aspects and your problem-solving approach.",,,,False,"['academic project', 'academic', 'significant academic', 'focus']"
"Tell me about a time you worked effectively as part of a team. What was your role, and what challenges did you overcome together?",,,,True,"['effectively team', 'team role', 'role challenges']"
Describe your preferred work style and environment.  How do you manage your time and prioritize tasks?,,,,False,"['prioritize tasks', 'time prioritize', 'manage time']"
"Why are you interested in this Java Developer role, and what are your career goals?",,,,False,"['java', 'developer role', 'interested java', 'java developer']"
"Tell me about a time you faced a challenging situation. How did you handle it, and what did you learn from the experience?",,,,False,"['challenging', 'challenging situation', 'faced challenging']"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
What are the common data structures you're familiar with? Describe one and its use cases.,,,,False,"['data', 'data structures', 'common data']"
Explain the concept of Object-Oriented Programming (OOP) and mention at least two of its main principles.,,,,True,"['object oriented', 'oriented programming', 'programming oop', 'at least two', 'object-oriented programming']"
What is a relational database?  Can you give an example of a popular Relational Database Management System (RDBMS)?,,,,True,"['database management', 'database example', 'relational database', 'relational database management system']"
Write a simple SQL query to select all rows from a table named 'Users' where the 'age' column is greater than 25.,,,,True,"['sql', 'age column', 'users age', 'simple sql']"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands.",,,,True,"['sql', 'update delete', 'sql commands', 'delete sql']"
What is Git?  Why is it important for software development?,,,,True,"['git', 'software development', 'git important']"
Describe the typical steps involved in a software development lifecycle (SDLC).,,,,True,"['software development', 'sdlc', 'lifecycle sdlc', 'development lifecycle']"
"Explain the difference between `git add`, `git commit`, and `git push`.",,,,True,"['commit git', 'git commit', 'git push']"
"Walk me through one of your academic projects. Describe the problem you solved, the technologies you used, and any challenges you faced.",,,,False,"['technologies', 'solved technologies', 'academic projects']"
What is the purpose of the 'final' keyword in Java? Give examples of where it can be used.,,,,True,"['keyword java', 'final keyword', 'purpose final', 'java']"
How does exception handling work in Java? Can you explain the difference between checked and unchecked exceptions?,,,,True,"['java', 'exception handling', 'does exception', 'unchecked exceptions']"
"What are Java Collections, and how do they differ from arrays?",,,,False,"['collections', 'collections differ', 'java collections']"
Can you explain the concept of Java interfaces and how they are used?,,,,False,"['java interfaces', 'java', 'interfaces', 'interfaces used']"
What are the differences between HashMap and Hashtable in Java?,,,,True,"['hashmap hashtable', 'hashtable', 'java', 'hashmap', 'differences hashmap']"
What is the use of the 'synchronized' keyword in Java? How does it affect thread safety?,,,,False,"['synchronized', 'use synchronized', 'java', 'synchronized keyword']"
Can you describe what garbage collection is in Java and how it works?,,,,True,"['garbage collection', 'java', 'collection java', 'garbage']"
"Can you explain the difference between JDK, JRE, and JVM?",,,,True,"['jdk', 'jre', 'difference jdk', 'jvm', 'jdk jre']"
What are the main principles of Object-Oriented Programming in Java?,,,,True,"['programming java', 'object oriented', 'object-oriented programming', 'java']"
How does garbage collection work in Java? Can you name a few garbage collection algorithms?,,,,True,"['garbage collection', 'java', 'does garbage', 'java garbage']"
What is the role of the 'main' method in a Java application?,,,,False,"['java', 'main method', 'java application', 'method java']"
Can you explain the concept of method overloading and method overriding with examples?,,,,True,"['method overloading', 'overloading method', 'method overriding']"
What is polymorphism in Java and how can it be achieved?,,,,False,"['polymorphism', 'polymorphism java', 'java', 'java achieved']"
Please describe the differences between an abstract class and an interface in Java.,,,,True,"['interface java', 'java', 'abstract class', 'class interface']"
How do you handle exceptions in Java? Can you differentiate between checked and unchecked exceptions?,,,,False,"['java', 'handle exceptions', 'exceptions java', 'unchecked exceptions']"
What are Java Collections? Can you name some commonly used collections?,,,,True,"['used collections', 'collections commonly', 'java collections']"
Explain the significance of the 'static' keyword in Java.,,,,True,"['significance static', 'java', 'static', 'static keyword']"
What is multithreading and how is it implemented in Java?,,,,True,"['java', 'multithreading', 'implemented java', 'multithreading implemented']"
Can you explain the concept of synchronization in Java?,,,,False,"['concept synchronization', 'synchronization', 'synchronization java', 'java']"
"Can you explain the differences between JDK, JRE, and JVM?",,,,True,"['jdk', 'jre', 'jvm', 'differences jdk', 'jdk jre']"
What are the main principles of Object-Oriented Programming in Java?,,,,True,"['programming java', 'object oriented', 'object-oriented programming', 'java']"
What is the purpose of the 'final' keyword in Java? Can you provide examples of its usage?,,,,False,"['keyword java', 'final keyword', 'purpose final', 'java']"
"How does memory management work in Java, specifically with respect to the garbage collection process?",,,,False,"['garbage collection', 'java', 'collection process', 'memory management']"
Can you describe the difference between checked and unchecked exceptions in Java?,,,,True,"['checked unchecked', 'java', 'exceptions java', 'unchecked exceptions']"
What are interfaces and abstract classes in Java? When would you use one over the other?,,,,True,"['abstract classes', 'java', 'interfaces abstract', 'interfaces']"
"What is a Java Collection? Can you explain the difference between List, Set, and Map interfaces?",,,,False,"['map', 'java collection', 'collection explain', 'list set']"
"What is multithreading in Java, and how do you implement it?",,,,False,"['multithreading java', 'java implement', 'java', 'multithreading']"
Can you discuss the significance of the 'static' keyword when used with methods and variables?,,,,False,"['significance static', 'static', 'static keyword']"
