Questions,Duplicate,Tags,Difficulty Level,duplicate,tags,difficulty_score,difficulty_level
"If this role involves Python, What are some Python libraries you are familiar with?  Can you describe a situation where you used a specific library to solve a problem?",,,,False,"involves python,python,python libraries",2.2,Easy
"If this role involves Databases, What is your understanding of SQL?  Write a simple SQL query to retrieve data from a table.",,,,False,"sql,involves databases,understanding sql",2.4,Easy
Walk me through your most challenging academic project.  What problems did you encounter? How did you overcome them? What did you learn from the experience?,,,,True,"challenging academic,challenging,academic project",1.4,Easy
"Tell me about a time you worked effectively as part of a team. What was your role, and what challenges did you face?",,,,True,"role challenges,effectively team,team role",1.3,Easy
"Describe a situation where you had to deal with a conflict within a team. How did you approach the situation, and what was the outcome?",,,,False,"conflict team,deal conflict,conflict",2.0,Easy
"Why are you interested in this role, and what are your career aspirations?",,,,False,"career aspirations,role career,career",2.3,Easy
Describe your preferred work style. Do you prefer working independently or collaboratively? Why?,,,,True,"collaboratively,independently collaboratively,working independently",3.5,Medium
"Our company culture values [mention company values, e.g., innovation, collaboration, customer focus]. How do your values align with ours?",,,,False,"company culture,company values,culture values",4.2,Medium
Explain the difference between `==` and `===` in JavaScript.  Give an example.,,,,True,"javascript,difference javascript,javascript example",2.4,Easy
What is the DOM and how do you interact with it using JavaScript?,,,,True,"dom interact,using javascript,dom,javascript",1.0,Easy
"Describe the difference between `let`, `const`, and `var` in JavaScript. When would you use each one?",,,,True,"var javascript,var,const var,javascript",1.3,Easy
"What is your experience with HTML, CSS, and JavaScript frameworks like React, Angular, or Vue.js? (If any)",,,,False,"javascript frameworks,frameworks like,html,frameworks,vue.js",3.0,Medium
Write a simple JavaScript function to check if a given string is a palindrome.,,,,False,"javascript,string palindrome,palindrome,javascript function",1.9,Easy
"How would you handle asynchronous operations in JavaScript (e.g., fetching data from an API)?  Provide an example using `async`/`await` or Promises.",,,,False,"javascript,asynchronous operations,handle asynchronous,async await",2.9,Easy
"Walk me through one of your academic projects that involved frontend development.  Explain your role, the technologies used, and the challenges you faced.",,,,True,"frontend,frontend development,involved frontend",2.4,Easy
Do you have any questions for me about the role or the company?,,,,False,"questions role,role company,role",1.3,Easy
"Explain the difference between a stack and a queue, providing real-world examples of when you might use each.",,,,True,"stack queue,queue providing,queue",3.0,Easy
What is the difference between an array and a linked list?  When would you choose one over the other?,,,,True,"array,array linked,linked list,one",1.3,Easy
Describe the concept of Big O notation and its importance in algorithm analysis. Give an example of an O(n) and an O(n^2) operation.,,,,True,"algorithm analysis,big notation,algorithm",3.7,Medium
"What are the different types of database systems you are familiar with (e.g., relational, NoSQL)? Briefly explain their differences and use cases.",,,,False,"database systems,relational nosql,database",2.9,Easy
"What is RESTful API and explain the common HTTP methods used (GET, POST, PUT, DELETE)?",,,,False,"api explain,restful api,http methods,post",2.2,Easy
Explain your understanding of the client-server architecture and how it applies to web applications.,,,,False,"client server,server architecture,understanding client",4.3,Medium
Write a simple function in your preferred language to handle a basic HTTP GET request and print the response status code.,,,,False,"status code,response status,print response",2.8,Easy
"What is version control (e.g., Git)?  Have you used it before? If so, describe a scenario where it was helpful.",,,,False,"version control,git,control git,git used",1.2,Easy
"What are some common backend frameworks you are familiar with (e.g., Node.js, Spring Boot, Django)? Briefly describe their strengths and weaknesses.",,,,False,"common backend,django,frameworks,spring boot,node.js",2.5,Easy
"Walk me through an academic project you are particularly proud of. Describe your role, the challenges you faced, and what you learned.",,,,False,"walk academic,academic,academic project",1.6,Easy
"In that project, what was your biggest contribution, and how did you ensure its quality and functionality?",,,,False,"project,project biggest,biggest contribution",2.8,Easy
"Explain the difference between a stack and a queue, and give examples of when you might use each.",,,,False,"stack queue,queue,queue examples",1.9,Easy
"What are the different types of database systems you are familiar with? Briefly describe their characteristics (e.g., relational vs. NoSQL).",,,,False,"vs nosql,database systems,database",3.0,Easy
Describe the concept of RESTful APIs.  What are some common HTTP methods used in REST APIs and what do they do?,,,,False,"restful apis,rest apis,http methods",1.4,Easy
Write a Python function to reverse a string.  Consider edge cases like empty strings or strings with special characters.,,,,False,"reverse string,reverse,function reverse",2.9,Easy
Explain how you would handle exceptions in Python. Provide an example.,,,,False,"exceptions,exceptions python,python,handle exceptions",2.4,Easy
"What are some common Python libraries used for backend development, and what are their purposes? (e.g., Flask, Django)",,,,False,"django,backend development,common python,flask,python",2.9,Easy
"Can you explain the difference between JDK, JRE, and JVM?",,,,True,"jdk jre,jvm,difference jdk,jre,jdk",2.2,Easy
"Walk me through your most challenging academic project.  Explain the problem, your solution, and what you learned from the experience.  Focus on your contributions and the technologies used.",,,,False,"challenging academic,challenging,academic project",2.7,Easy
"Explain the difference between a stack and a queue, and provide real-world examples of where each data structure would be used.",,,,True,"stack queue,difference stack,queue",3.0,Medium
What are the different types of database systems you are familiar with?  Explain the strengths and weaknesses of at least two.,,,,False,"database systems,types database,at least two,database",2.0,Easy
"Describe your understanding of RESTful APIs and HTTP methods (GET, POST, PUT, DELETE).  Give an example of how you might use them in a simple application.",,,,False,"restful apis,apis http,http methods,post",2.8,Easy
Write a Python function to reverse a string. Explain your approach and consider edge cases like an empty string or a string with special characters.,,,,False,"reverse string,reverse,function reverse",2.6,Easy
Write a Python function to find the factorial of a given non-negative integer.  Discuss time and space complexity.,,,,False,"function factorial,factorial given,factorial",3.6,Medium
"Explain the concept of object-oriented programming (OOP) and give examples of how OOP principles (encapsulation, inheritance, polymorphism) are used in Python.",,,,False,"oop examples,python,oriented programming,programming oop",5.0,Medium
"Walk me through one of your academic projects. Explain the problem you were trying to solve, the technologies you used, the challenges you faced, and what you learned from the experience.  Focus on your role and contributions.",,,,False,"solve technologies,academic projects,projects",2.1,Easy
Do you have any questions for me?,,,,True,questions,1.0,Easy
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript equivalent",3.0,Easy
What is the difference between a stack and a queue data structure?  Provide real-world examples of where each might be used.,,,,True,"queue data,stack queue,difference stack",2.6,Easy
Describe what an algorithm is and give a simple example of an algorithm you've encountered.,,,,True,"algorithm simple,example algorithm,algorithm",3.0,Easy
What is a relational database?  What are some common examples of relational database management systems (RDBMS)?,,,,True,"systems rdbms,database management,relational database",3.8,Medium
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"sql,age column,simple sql,users age",1.9,Easy
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands.",,,,True,"update delete,delete sql,sql,sql commands",2.8,Easy
"What is Git, and why is it important in software development?",,,,True,"git,git important,software development",2.3,Easy
"Explain the difference between `git add`, `git commit`, and `git push`.",,,,True,"git push,commit git,git commit",2.6,Easy
"Describe a typical software development lifecycle (SDLC) model. (e.g., Waterfall, Agile).",,,,True,"development lifecycle,sdlc,waterfall, agile,software development,lifecycle sdlc",5.3,Medium
"Walk me through one of your academic projects.  Explain the problem you were solving, your approach, the technologies you used, and any challenges you encountered.",,,,True,"academic projects,projects explain,approach technologies",1.9,Easy
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript equivalent",2.6,Easy
Describe the concept of Object-Oriented Programming (OOP).  Name and briefly explain three core principles of OOP.,,,,True,"object-oriented programming,oriented programming,oop,object oriented,three",3.6,Medium
What is a stack and a queue?  Explain their differences and provide real-world examples of where they might be used.,,,,True,"stack queue,queue explain,queue",1.9,Easy
"What is a relational database?  What is a SQL query, and what are some basic SQL commands you know (e.g., SELECT, FROM, WHERE, etc.)?",,,,True,"database sql,select,relational database,basic sql,sql",1.4,Easy
Write a simple SQL query to retrieve all rows from a table named 'Users' where the 'age' column is greater than 25.,,,,True,"sql,age column,simple sql,users age",1.9,Easy
Explain the difference between primary key and foreign key constraints in a relational database.,,,,True,"primary key,foreign key,relational database",3.7,Medium
"What is Git, and what are some common Git commands you've used (e.g., `git clone`, `git add`, `git commit`, `git push`)?",,,,True,"git,git commands,commit git,git commit",1.5,Easy
Explain the concept of branching in Git. Why is it useful?,,,,True,"branching,git useful,branching git,git",1.4,Easy
Describe a typical software development lifecycle (SDLC).  Name at least three common SDLC models.,,,,False,"at least three,development lifecycle,sdlc models,sdlc,lifecycle sdlc",3.8,Medium
"Walk me through your most challenging academic project. What technologies did you use? What problems did you encounter, and how did you overcome them? What did you learn from this experience?",,,,True,"challenging academic,project technologies,academic project",1.6,Easy
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript equivalent",2.6,Easy
What is the difference between an array and a linked list? When would you choose one over the other?,,,,True,"array,array linked,linked list,one",1.3,Easy
Describe a situation where you encountered a bug in your code. How did you approach debugging and resolving it?,,,,False,"debugging,bug code,approach debugging",2.3,Easy
What is a relational database? Name a few examples of relational database management systems (RDBMS).,,,,True,"systems rdbms,database examples,relational database",3.9,Medium
Write a simple SQL query to select all users from a table named 'users' where the age is greater than 25.,,,,True,"sql,age greater,select users,users age",1.5,Easy
"Explain the difference between `SELECT`, `UPDATE`, and `DELETE` in SQL.",,,,True,"update delete,delete sql,select update,sql",2.7,Easy
"What is Git, and why is it important in software development?",,,,True,"git,git important,software development",2.3,Easy
"Explain the difference between `git commit`, `git push`, and `git pull`.",,,,True,"git push,commit git,git commit",2.8,Easy
"Describe a typical software development lifecycle (SDLC) model. (e.g., Waterfall, Agile).",,,,True,"development lifecycle,sdlc,waterfall, agile,software development,lifecycle sdlc",5.3,Medium
"Walk me through one of your academic projects. Describe the problem you were solving, your approach, the technologies you used, and any challenges you faced.",,,,True,"academic projects,projects,approach technologies",2.0,Easy
Explain the difference between a list and a tuple in Python.  When would you use one over the other?,,,,True,"tuple python,python,list tuple,tuple",1.4,Easy
Describe the concept of loops (for and while) in Python. Provide a simple example of each.,,,,True,"loops,loops python,python",1.8,Easy
Explain what a function is and how you would define and call a function in Python.  Give an example.,,,,False,"explain function,python,define function,function python",1.4,Easy
"What is object-oriented programming (OOP)? Explain the four main principles of OOP (encapsulation, inheritance, polymorphism, abstraction).",,,,True,"four,oop,object oriented,programming oop,oop explain",5.4,Medium
"Have you worked with any Python libraries? (e.g., NumPy, Pandas, Requests). If so, describe your experience with one.",,,,False,"libraries numpy,python,pandas requests,python libraries",1.8,Easy
"Explain the concept of exception handling in Python using `try`, `except`, and `finally` blocks.  Give a simple example.",,,,True,"exception handling,using try,handling python",2.9,Easy
What is a module in Python? How do you import and use a module?,,,,False,"module python,python import,use module",1.0,Easy
"What is your understanding of version control systems, particularly Git? Have you used Git in any of your projects?",,,,True,"git projects,particularly git,git,version control",2.7,Easy
"Walk me through one of your academic projects that involved Python programming. Describe your role, the challenges you faced, and what you learned.",,,,False,"python,involved python,python programming",1.6,Easy
"In your projects, how did you approach debugging and testing your code? What strategies did you use to ensure the quality of your work?",,,,False,"debugging,debugging testing,approach debugging",1.8,Easy
"Tell me about a time you worked on a team project. What was your role, and what did you learn from the experience?",,,,False,"worked team,team project,project role",1.0,Easy
"Describe a situation where you faced a challenging problem while working on a project. How did you approach it, and what was the outcome?",,,,False,"challenging,working project,faced challenging",1.8,Easy
"Why are you interested in this Python Developer position, and what are your career goals?",,,,False,"python,interested python,python developer",3.1,Medium
How do you handle pressure and tight deadlines?,,,,True,"handle pressure,deadlines,tight deadlines",1.8,Easy
Can you explain the difference between a compiler and an interpreter?  Give an example of a language that uses each.,,,,True,"compiler interpreter,interpreter example,interpreter",2.6,Easy
Describe the concept of an array and a linked list. What are the advantages and disadvantages of each?,,,,True,"array linked,list advantages,linked list",2.0,Easy
"Explain the difference between inline, block, and inline-block elements in CSS.  Give examples of when you might use each.",,,,False,"difference inline,inline block,css,block inline",2.7,Easy
"What is the difference between `let`, `const`, and `var` in JavaScript? When would you choose to use each one?",,,,True,"var javascript,const var,let const,javascript",1.0,Easy
"Tell me about a front-end project you're particularly proud of.  Describe your role, the technologies used, any challenges you faced, and what you learned from the experience.",,,,False,"proud role,proud,end project",2.0,Easy
"Describe a situation where you had to work collaboratively on a project.  What was your role, and how did you contribute to the team's success?",,,,False,"collaboratively project,work collaboratively,project role",2.3,Easy
"Why are you interested in this role, and how do you see yourself contributing to our team?",,,,False,"contributing team,role contributing,role",1.8,Easy
What steps do you take to ensure effective communication with team members?,,,,False,"effective communication,communication team,communication",3.3,Medium
Explain the difference between an array and a linked list.  When would you choose one over the other?,,,,True,"array,array linked,linked list,one",1.3,Easy
What is the difference between `==` and `equals()` in Java (or your preferred language)? Give an example.,,,,False,"difference equals,equals java,java,equals",2.2,Easy
Describe a time you debugged a particularly challenging piece of code. What was your approach?,,,,False,"debugged,time debugged,debugged particularly",2.6,Easy
"If you listed experience with Python, explain what is the concept of a class and how to define a simple class in Python?",,,,False,"class python,python,python explain",2.3,Easy
"If you listed experience with SQL, write a simple SQL query to retrieve data from a table.  (Adapt based on candidate's claimed SQL knowledge)",,,,False,"sql,adapt,claimed sql,sql knowledge",2.8,Easy
"If you listed experience with JavaScript, what are some common JavaScript frameworks or libraries you've used or are familiar with?",,,,False,"javascript frameworks,javascript,common javascript,javascript common",2.7,Easy
"Walk me through your most challenging academic project. What were the biggest hurdles you faced, and how did you overcome them? What did you learn from this experience?",,,,False,"challenging academic,biggest hurdles,challenging",1.6,Easy
"Tell me about a time you had to work in a team on a project. What was your role, and what were the challenges you faced in collaboration? How did you resolve any conflicts?",,,,False,"team project,project role,faced collaboration",1.3,Easy
"Why are you interested in this specific role at our company? What are your career goals, and how does this position fit into your plan?",,,,False,"specific role,role company,company career",2.1,Easy
Describe your preferred work style. Do you prefer working independently or as part of a team? Explain your strengths and weaknesses.,,,,False,"working independently,independently team,work style",2.4,Easy
"Our company values [insert 2-3 company values e.g., innovation, collaboration, customer focus].  Can you give me an example of a time you demonstrated one of these values?",,,,False,"one,2-3,values,company values,values innovation",3.6,Medium
Can you explain the difference between a compiler and an interpreter?  Give an example of a language that uses each.,,,,True,"compiler interpreter,interpreter example,interpreter",2.6,Easy
Describe the concept of an algorithm and provide a simple example of an algorithm you've used or encountered.,,,,True,"example algorithm,algorithm provide,algorithm",3.2,Medium
"If you were working with Python, how would you handle exceptions to prevent your program from crashing?  Give a simple code example.",,,,False,"python,exceptions prevent,handle exceptions,program crashing",2.3,Easy
Write a simple SQL query to retrieve all rows from a table named 'Customers' where the 'Country' column is equal to 'USA'.,,,,True,"customers country,usa,country column,sql,sql query",2.4,Easy
"Describe one of your academic projects.  What was your role, what challenges did you face, and what did you learn from the experience?",,,,False,"academic projects,projects,academic,one",1.4,Easy
"During your project, did you encounter any disagreements with your team members? How did you resolve them?",,,,False,"encounter disagreements,disagreements team,disagreements",1.8,Easy
Tell me about a time you had to explain a complex technical concept to someone without a technical background. How did you approach it?,,,,False,"complex technical,concept technical,technical concept",2.0,Easy
Why are you interested in working for [Company Name]?,,,,True,"company,interested working,working company",2.6,Easy
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"compilation interpretation,compiled language,interpreted language",4.7,Medium
Describe the concept of an algorithm and give a simple example of an algorithm you might use in everyday life.,,,,False,"algorithm simple,algorithm use,example algorithm",3.1,Medium
"Assuming you are familiar with Python, explain the difference between a list and a tuple. When would you choose one over the other?",,,,False,"list tuple,python explain,one,tuple choose,python",1.8,Easy
Write a simple SQL query to select all rows from a table named 'Customers' where the 'Country' column is equal to 'USA'.,,,,True,"customers country,usa,country column,sql,sql query",2.4,Easy
"Walk me through one of your academic projects. Explain your role, the challenges you faced, and what you learned from the experience.",,,,True,"walk academic,academic projects,academic",1.5,Easy
"In your project, did you work as part of a team? Describe your role and how you collaborated with your teammates.  Did you encounter any conflicts, and if so, how did you resolve them?",,,,False,"role collaborated,collaborated teammates,team role",1.5,Easy
Tell me about a time you had to explain a complex technical concept to someone who wasn't technically proficient. How did you approach it?,,,,False,"explain complex,complex technical,technical concept",1.9,Easy
Why are you interested in working for [Company Name]?,,,,True,"company,interested working,working company",2.6,Easy
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"compilation interpretation,compiled language,interpreted language",4.7,Medium
"What are the basic data types in your preferred programming language (e.g., Java, Python, C++)? Explain how they are used.",,,,True,"programming language,basic data,data types,java",2.0,Easy
Describe the concept of an algorithm and give a simple example of an algorithm you have encountered.,,,,True,"algorithm simple,example algorithm,algorithm",2.9,Easy
Explain what a function/method is and its purpose in programming. Provide a simple example in your preferred programming language.,,,,False,"explain function,method purpose,function method",3.3,Medium
"What is a relational database? What are tables, rows, and columns in a relational database?",,,,True,"database tables,database,relational database",3.0,Medium
Write a simple SQL query to select all rows from a table named 'Students' where the 'GPA' column is greater than 3.5.,,,,True,"students gpa,gpa column,gpa,greater than 3.5,sql",2.0,Easy
"What is the difference between the SQL commands `SELECT`, `INSERT`, `UPDATE`, and `DELETE`?",,,,True,"update delete,sql,difference sql,sql commands",2.3,Easy
Explain the concept of primary keys and foreign keys in a relational database. Why are they important?,,,,True,"keys relational,primary keys,foreign keys",2.5,Easy
What is a database index and how can it improve query performance?,,,,True,"index improve,database index,index",2.3,Easy
"What is Git, and why is it important in software development?",,,,True,"git,git important,software development",2.3,Easy
"Explain the difference between `git commit`, `git push`, and `git pull`.",,,,True,"git push,commit git,git commit",2.8,Easy
What are the main principles of Object-Oriented Programming in Java?,,,,True,"object-oriented programming,programming java,object oriented,java",4.3,Medium
"Describe a typical software development lifecycle (SDLC) model. (e.g., Waterfall, Agile).",,,,True,"development lifecycle,sdlc,waterfall, agile,software development,lifecycle sdlc",5.3,Medium
"Walk me through one of your academic projects.  Explain the problem you solved, your approach, and the technologies you used.",,,,True,"academic projects,technologies,approach technologies",1.8,Easy
"What was your role in this project, and what challenges did you face? How did you overcome them?",,,,True,"role project,project challenges,challenges",1.0,Easy
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"compilation interpretation,compiled language,interpreted language",4.7,Medium
Describe the concept of an algorithm and provide a simple algorithm for finding the largest number in a list of numbers.,,,,True,"finding largest,largest number,algorithm",3.0,Easy
"Let's say you're using [Candidate's preferred language - e.g., Python].  How would you handle exceptions (errors) in your code? Give a simple example.",,,,False,"exceptions errors,exceptions,handle exceptions,candidate",2.2,Easy
Write a simple SQL query to retrieve all rows from a table named 'Customers' where the 'City' column is equal to 'London'.,,,,True,"london,retrieve rows,customers city,sql,city column",2.4,Easy
"Can you describe one of your academic projects? Focus on your role, the challenges you faced, and the technologies you used. What was your biggest learning from this project?",,,,False,"academic projects,projects,learning project",1.7,Easy
Explain the difference between a compiler and an interpreter.  Give an example of a language that uses each.,,,,True,"compiler interpreter,interpreter example,interpreter",3.0,Medium
"What are the basic data types in your preferred programming language (e.g., Java, Python, C++)?  Give examples of each.",,,,True,"programming language,basic data,data types,java",2.5,Easy
"Describe the concept of an algorithm and give a simple example of an algorithm you've used or implemented (e.g., searching for an element in an array).",,,,False,"algorithm simple,example algorithm,algorithm",3.1,Medium
What is a relational database?  What are some common relational database management systems (RDBMS)?,,,,True,"systems rdbms,database management,relational database",3.7,Medium
Write a simple SQL query to select all rows from a table named 'Students' where the 'GPA' column is greater than 3.5.,,,,True,"students gpa,gpa column,gpa,greater than 3.5,sql",2.0,Easy
Explain the difference between a primary key and a foreign key in a relational database.,,,,True,"primary key,foreign key,relational database",3.3,Medium
"What is Git? Explain the common Git commands you are familiar with (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`, `git branch`).",,,,True,"git,git commands,git explain,commit git",1.6,Easy
"Describe a typical software development lifecycle (SDLC).  What are some common methodologies used (e.g., Agile, Waterfall)?",,,,True,"development lifecycle,agile,sdlc,software development,lifecycle sdlc",3.7,Medium
How do you resolve merge conflicts when using Git?,,,,False,"git,merge conflicts,using git,resolve merge",1.8,Easy
"Walk me through one of your academic projects.  Explain the problem you were solving, your approach, the technologies you used, and any challenges you faced.",,,,True,"academic projects,projects,approach technologies",1.9,Easy
Explain the difference between `==` and `.equals()` in Java.  Give an example.,,,,True,"difference equals,equals java,java,equals",2.4,Easy
How does Java achieve platform independence?,,,,True,"does java,java,platform independence",3.9,Medium
What are the different data types in Java?  Give examples of when you might use each.,,,,True,"types java,java examples,data types,java",1.8,Easy
"Describe the concept of object-oriented programming (OOP) and its four main principles (Abstraction, Encapsulation, Inheritance, Polymorphism). Give a simple example.",,,,True,"oriented programming,four,object oriented,programming oop",5.5,Medium
What is an exception in Java? How do you handle exceptions using `try-catch` blocks?,,,,False,"exceptions using,exception java,handle exceptions,java",2.3,Easy
What is the difference between a List and a Set in Java? When would you choose one over the other?,,,,False,"one,java,java choose,list set,set java",1.5,Easy
Explain your understanding of Java Collections Framework. Name at least three common implementations and their use cases.,,,,False,"java collections,at least three,java collections framework,collections framework,collections",4.1,Medium
"Walk me through a significant academic project you've worked on.  Describe your role, the challenges you faced, and what you learned from the experience.  Focus on the technical aspects and your problem-solving approach.",,,,False,"significant academic,focus,academic,academic project",2.8,Easy
"Tell me about a time you worked effectively as part of a team. What was your role, and what challenges did you overcome together?",,,,True,"role challenges,effectively team,team role",1.6,Easy
Describe your preferred work style and environment.  How do you manage your time and prioritize tasks?,,,,False,"time prioritize,manage time,prioritize tasks",2.7,Easy
"Why are you interested in this Java Developer role, and what are your career goals?",,,,False,"interested java,java developer,java,developer role",2.8,Easy
"Tell me about a time you faced a challenging situation. How did you handle it, and what did you learn from the experience?",,,,False,"challenging,challenging situation,faced challenging",1.6,Easy
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript equivalent",2.6,Easy
What are the common data structures you're familiar with? Describe one and its use cases.,,,,False,"data structures,common data,data",2.2,Easy
Explain the concept of Object-Oriented Programming (OOP) and mention at least two of its main principles.,,,,True,"object-oriented programming,at least two,oriented programming,object oriented,programming oop",3.6,Medium
What is a relational database?  Can you give an example of a popular Relational Database Management System (RDBMS)?,,,,True,"database management,database example,relational database management system,relational database",3.6,Medium
Write a simple SQL query to select all rows from a table named 'Users' where the 'age' column is greater than 25.,,,,True,"sql,age column,simple sql,users age",1.9,Easy
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands.",,,,True,"update delete,delete sql,sql,sql commands",2.8,Easy
What is Git?  Why is it important for software development?,,,,True,"git,git important,software development",2.4,Easy
Describe the typical steps involved in a software development lifecycle (SDLC).,,,,True,"sdlc,software development,lifecycle sdlc,development lifecycle",4.2,Medium
"Explain the difference between `git add`, `git commit`, and `git push`.",,,,True,"git push,commit git,git commit",2.6,Easy
"Walk me through one of your academic projects. Describe the problem you solved, the technologies you used, and any challenges you faced.",,,,False,"solved technologies,academic projects,technologies",1.5,Easy
What is the purpose of the 'final' keyword in Java? Give examples of where it can be used.,,,,True,"purpose final,final keyword,keyword java,java",1.4,Easy
How does exception handling work in Java? Can you explain the difference between checked and unchecked exceptions?,,,,True,"unchecked exceptions,does exception,exception handling,java",2.8,Easy
"What are Java Collections, and how do they differ from arrays?",,,,False,"java collections,collections differ,collections",2.3,Easy
Can you explain the concept of Java interfaces and how they are used?,,,,False,"interfaces used,java interfaces,interfaces,java",2.0,Easy
What are the differences between HashMap and Hashtable in Java?,,,,True,"hashtable java,differences hashmap,java,hashtable,hashmap",2.1,Easy
What is the use of the 'synchronized' keyword in Java? How does it affect thread safety?,,,,False,"synchronized,synchronized keyword,use synchronized,java",2.0,Easy
Can you describe what garbage collection is in Java and how it works?,,,,True,"garbage collection,garbage,collection java,java",1.6,Easy
"Can you explain the difference between JDK, JRE, and JVM?",,,,True,"jdk jre,jvm,difference jdk,jre,jdk",2.2,Easy
What are the main principles of Object-Oriented Programming in Java?,,,,True,"object-oriented programming,programming java,object oriented,java",4.3,Medium
How does garbage collection work in Java? Can you name a few garbage collection algorithms?,,,,True,"garbage collection,java garbage,does garbage,java",2.9,Easy
What is the role of the 'main' method in a Java application?,,,,False,"java application,main method,method java,java",1.8,Easy
Can you explain the concept of method overloading and method overriding with examples?,,,,True,"method overriding,overloading method,method overloading",3.3,Medium
What is polymorphism in Java and how can it be achieved?,,,,False,"java achieved,java,polymorphism,polymorphism java",1.4,Easy
Please describe the differences between an abstract class and an interface in Java.,,,,True,"abstract class,interface java,class interface,java",3.0,Easy
How do you handle exceptions in Java? Can you differentiate between checked and unchecked exceptions?,,,,False,"exceptions java,unchecked exceptions,handle exceptions,java",2.7,Easy
What are Java Collections? Can you name some commonly used collections?,,,,True,"collections commonly,used collections,java collections",2.4,Easy
Explain the significance of the 'static' keyword in Java.,,,,True,"significance static,static,static keyword,java",3.3,Medium
What is multithreading and how is it implemented in Java?,,,,True,"implemented java,multithreading implemented,multithreading,java",2.4,Easy
Can you explain the concept of synchronization in Java?,,,,False,"concept synchronization,synchronization,java,synchronization java",3.2,Medium
"Can you explain the differences between JDK, JRE, and JVM?",,,,True,"differences jdk,jdk jre,jvm,jre,jdk",2.2,Easy
What are the main principles of Object-Oriented Programming in Java?,,,,True,"object-oriented programming,programming java,object oriented,java",4.3,Medium
What is the purpose of the 'final' keyword in Java? Can you provide examples of its usage?,,,,False,"purpose final,final keyword,keyword java,java",2.3,Easy
"How does memory management work in Java, specifically with respect to the garbage collection process?",,,,False,"garbage collection,collection process,memory management,java",4.2,Medium
Can you describe the difference between checked and unchecked exceptions in Java?,,,,True,"exceptions java,unchecked exceptions,checked unchecked,java",2.7,Easy
What are interfaces and abstract classes in Java? When would you use one over the other?,,,,True,"interfaces abstract,interfaces,java,abstract classes",1.6,Easy
"What is a Java Collection? Can you explain the difference between List, Set, and Map interfaces?",,,,False,"java collection,list set,collection explain,map",3.1,Medium
"What is multithreading in Java, and how do you implement it?",,,,False,"java implement,multithreading java,multithreading,java",1.7,Easy
Can you discuss the significance of the 'static' keyword when used with methods and variables?,,,,False,"significance static,static,static keyword",2.5,Easy
Explain the difference between compilation and interpretation in the context of programming languages. Give examples of languages that use each approach.,,,,True,"difference compilation,compilation interpretation,programming languages",4.5,Medium
"What are the different data types commonly used in programming?  Provide examples in a language you are familiar with (e.g., Java, Python, C++).",,,,False,"types,java,data types,types commonly",2.8,Easy
"Describe the concept of an algorithm. Can you explain a simple algorithm, such as a sorting algorithm (e.g., bubble sort), in your own words?",,,,False,"algorithm explain,algorithm sorting,algorithm bubble",2.3,Easy
"What is a relational database?  What are tables, rows, and columns in the context of a relational database?",,,,True,"database tables,database,relational database",2.8,Easy
Write a simple SQL query to select all rows from a table named 'Students' where the 'GPA' is greater than 3.5.,,,,True,"students gpa,3.5,gpa,gpa greater,sql",1.8,Easy
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` commands in SQL.",,,,True,"update delete,commands sql,select insert,sql",3.1,Medium
What is Git and why is it used in software development?,,,,True,"git used,software development,git",2.0,Easy
"Describe the common Git commands you're familiar with (e.g., `clone`, `add`, `commit`, `push`, `pull`, `branch`, `merge`).",,,,False,"git,git commands,common git",1.4,Easy
Explain briefly what you understand by the Software Development Lifecycle (SDLC).  Name a common SDLC methodology.,,,,False,"development lifecycle,sdlc methodology,the software development lifecycle,sdlc,lifecycle sdlc",3.7,Medium
"Describe one of your academic projects. Explain your role, the technologies used, and any challenges you faced and how you overcame them.  Focus on what you learned from the experience.",,,,True,"academic projects,projects,one,projects explain",1.9,Easy
Can you explain the difference between an array and a linked list?  What are the advantages and disadvantages of each?,,,,True,"array linked,list advantages,linked list",2.3,Easy
"Explain what an algorithm is and give a simple example of one. (e.g., searching for a specific number in a list)",,,,True,"explain algorithm,algorithm simple,one,algorithm",2.1,Easy
"What is the difference between `let`, `const`, and `var` in JavaScript? When would you use each one?",,,,True,"var javascript,var,const var,javascript",1.0,Easy
