Questions,duplicate,tags
What are the different data types in Python? Give an example of each.,FALSE,"types python,data types,python example"
Explain the difference between GET and POST HTTP requests. When would you use each?,FALSE,"requests use,post http,http requests"
"Walk me through one of your academic projects. Explain your role, the challenges you faced, and what you learned from the experience. Focus on the technical aspects and your problem-solving approach.",FALSE,"projects explain,academic projects,projects"
Explain the difference between a compiler and an interpreter.  Give examples of languages that use each.,FALSE,"compiler interpreter,interpreter examples,interpreter"
"What are the basic data structures you are familiar with? Describe one in detail, including its advantages and disadvantages.",FALSE,"data,data structures,basic data,one"
Describe your understanding of Object-Oriented Programming (OOP) principles.  Give a real-world example illustrating these principles.,FALSE,"programming oop,object oriented,oop principles,object-oriented programming"
"If this role involves Java,  What is your experience with Java? What are some common Java libraries you've used?",FALSE,"java,java libraries,involves java,java experience"
"If this role involves Python, What are some Python libraries you are familiar with?  Can you describe a situation where you used a specific library to solve a problem?",FALSE,"python libraries,involves python,python"
"If this role involves Databases, What is your understanding of SQL?  Write a simple SQL query to retrieve data from a table.",FALSE,"understanding sql,sql,involves databases"
Walk me through your most challenging academic project.  What problems did you encounter? How did you overcome them? What did you learn from the experience?,TRUE,"challenging,academic project,challenging academic"
"Tell me about a time you worked effectively as part of a team. What was your role, and what challenges did you face?",TRUE,"team role,role challenges,effectively team"
"Describe a situation where you had to deal with a conflict within a team. How did you approach the situation, and what was the outcome?",FALSE,"conflict,deal conflict,conflict team"
"Why are you interested in this role, and what are your career aspirations?",FALSE,"career,career aspirations,role career"
Describe your preferred work style. Do you prefer working independently or collaboratively? Why?,TRUE,"collaboratively,independently collaboratively,working independently"
"Our company culture values [mention company values, e.g., innovation, collaboration, customer focus]. How do your values align with ours?",FALSE,"company values,culture values,company culture"
Explain the difference between `==` and `===` in JavaScript.  Give an example.,TRUE,"javascript,difference javascript,javascript example"
What is the DOM and how do you interact with it using JavaScript?,TRUE,"using javascript,dom interact,javascript,dom"
"Describe the difference between `let`, `const`, and `var` in JavaScript. When would you use each one?",TRUE,"javascript,const var,var,var javascript"
"What is your experience with HTML, CSS, and JavaScript frameworks like React, Angular, or Vue.js? (If any)",FALSE,"frameworks,javascript frameworks,vue.js,frameworks like,html"
Write a simple JavaScript function to check if a given string is a palindrome.,FALSE,"string palindrome,javascript,palindrome,javascript function"
"How would you handle asynchronous operations in JavaScript (e.g., fetching data from an API)?  Provide an example using `async`/`await` or Promises.",FALSE,"handle asynchronous,javascript,async await,asynchronous operations"
"Walk me through one of your academic projects that involved frontend development.  Explain your role, the technologies used, and the challenges you faced.",TRUE,"frontend,involved frontend,frontend development"
Do you have any questions for me about the role or the company?,FALSE,"questions role,role,role company"
"Explain the difference between a stack and a queue, providing real-world examples of when you might use each.",TRUE,"queue providing,queue,stack queue"
What is the difference between an array and a linked list?  When would you choose one over the other?,TRUE,"array linked,array,one,linked list"
Describe the concept of Big O notation and its importance in algorithm analysis. Give an example of an O(n) and an O(n^2) operation.,TRUE,"big notation,algorithm,algorithm analysis"
"What are the different types of database systems you are familiar with (e.g., relational, NoSQL)? Briefly explain their differences and use cases.",FALSE,"relational nosql,database systems,database"
"What is RESTful API and explain the common HTTP methods used (GET, POST, PUT, DELETE)?",FALSE,"post,http methods,api explain,restful api"
Explain your understanding of the client-server architecture and how it applies to web applications.,FALSE,"client server,server architecture,understanding client"
Write a simple function in your preferred language to handle a basic HTTP GET request and print the response status code.,FALSE,"status code,response status,print response"
"What is version control (e.g., Git)?  Have you used it before? If so, describe a scenario where it was helpful.",FALSE,"git,version control,git used,control git"
"What are some common backend frameworks you are familiar with (e.g., Node.js, Spring Boot, Django)? Briefly describe their strengths and weaknesses.",FALSE,"frameworks,django,common backend,backend frameworks,node.js"
"Walk me through an academic project you are particularly proud of. Describe your role, the challenges you faced, and what you learned.",FALSE,"walk academic,academic project,academic"
"In that project, what was your biggest contribution, and how did you ensure its quality and functionality?",FALSE,"biggest contribution,project biggest,project"
"Explain the difference between a stack and a queue, and give examples of when you might use each.",FALSE,"queue,queue examples,stack queue"
"What are the different types of database systems you are familiar with? Briefly describe their characteristics (e.g., relational vs. NoSQL).",FALSE,"vs nosql,database systems,database"
Describe the concept of RESTful APIs.  What are some common HTTP methods used in REST APIs and what do they do?,FALSE,"restful apis,http methods,rest apis"
Write a Python function to reverse a string.  Consider edge cases like empty strings or strings with special characters.,FALSE,"reverse string,function reverse,reverse"
Explain how you would handle exceptions in Python. Provide an example.,FALSE,"exceptions,python,exceptions python,handle exceptions"
"What are some common Python libraries used for backend development, and what are their purposes? (e.g., Flask, Django)",FALSE,"django,python,flask,backend development,common python"
"Can you explain the difference between JDK, JRE, and JVM?",TRUE,"jdk jre,jre jvm,jre,difference jdk,jdk"
"Walk me through your most challenging academic project.  Explain the problem, your solution, and what you learned from the experience.  Focus on your contributions and the technologies used.",FALSE,"challenging,academic project,challenging academic"
"Explain the difference between a stack and a queue, and provide real-world examples of where each data structure would be used.",TRUE,"queue,difference stack,stack queue"
What are the different types of database systems you are familiar with?  Explain the strengths and weaknesses of at least two.,FALSE,"at least two,types database,database systems,database"
"Describe your understanding of RESTful APIs and HTTP methods (GET, POST, PUT, DELETE).  Give an example of how you might use them in a simple application.",FALSE,"post,apis http,restful apis,http methods"
Write a Python function to reverse a string. Explain your approach and consider edge cases like an empty string or a string with special characters.,FALSE,"reverse string,function reverse,reverse"
Write a Python function to find the factorial of a given non-negative integer.  Discuss time and space complexity.,FALSE,"function factorial,factorial,factorial given"
"Explain the concept of object-oriented programming (OOP) and give examples of how OOP principles (encapsulation, inheritance, polymorphism) are used in Python.",FALSE,"programming oop,oop examples,oriented programming,python"
"Walk me through one of your academic projects. Explain the problem you were trying to solve, the technologies you used, the challenges you faced, and what you learned from the experience.  Focus on your role and contributions.",FALSE,"solve technologies,academic projects,projects"
Do you have any questions for me?,TRUE,questions
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,TRUE,"javascript,difference javascript,javascript equivalent"
What is the difference between a stack and a queue data structure?  Provide real-world examples of where each might be used.,TRUE,"difference stack,stack queue,queue data"
Describe what an algorithm is and give a simple example of an algorithm you've encountered.,TRUE,"example algorithm,algorithm,algorithm simple"
What is a relational database?  What are some common examples of relational database management systems (RDBMS)?,TRUE,"systems rdbms,database management,relational database"
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,TRUE,"simple sql,sql,age column,users age"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands.",TRUE,"sql,delete sql,sql commands,update delete"
"What is Git, and why is it important in software development?",TRUE,"git,software development,git important"
"Explain the difference between `git add`, `git commit`, and `git push`.",TRUE,"commit git,git push,git commit"
"Describe a typical software development lifecycle (SDLC) model. (e.g., Waterfall, Agile).",TRUE,"development lifecycle,waterfall, agile,lifecycle sdlc,sdlc,software development"
"Walk me through one of your academic projects.  Explain the problem you were solving, your approach, the technologies you used, and any challenges you encountered.",TRUE,"approach technologies,academic projects,projects explain"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,TRUE,"javascript,difference javascript,javascript equivalent"
Describe the concept of Object-Oriented Programming (OOP).  Name and briefly explain three core principles of OOP.,TRUE,"object-oriented programming,three,programming oop,object oriented,oop"
What is a stack and a queue?  Explain their differences and provide real-world examples of where they might be used.,TRUE,"queue,stack queue,queue explain"
"What is a relational database?  What is a SQL query, and what are some basic SQL commands you know (e.g., SELECT, FROM, WHERE, etc.)?",TRUE,"select,database sql,relational database,basic sql,sql"
Write a simple SQL query to retrieve all rows from a table named 'Users' where the 'age' column is greater than 25.,TRUE,"simple sql,sql,age column,users age"
Explain the difference between primary key and foreign key constraints in a relational database.,TRUE,"primary key,foreign key,relational database"
"What is Git, and what are some common Git commands you've used (e.g., `git clone`, `git add`, `git commit`, `git push`)?",TRUE,"git,commit git,git commands,git commit"
Explain the concept of branching in Git. Why is it useful?,TRUE,"branching,git,git useful,branching git"
Describe a typical software development lifecycle (SDLC).  Name at least three common SDLC models.,FALSE,"at least three,development lifecycle,lifecycle sdlc,sdlc,sdlc models"
"Walk me through your most challenging academic project. What technologies did you use? What problems did you encounter, and how did you overcome them? What did you learn from this experience?",TRUE,"project technologies,academic project,challenging academic"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,TRUE,"javascript,difference javascript,javascript equivalent"
What is the difference between an array and a linked list? When would you choose one over the other?,TRUE,"array linked,array,one,linked list"
Describe a situation where you encountered a bug in your code. How did you approach debugging and resolving it?,FALSE,"bug code,debugging,approach debugging"
What is a relational database? Name a few examples of relational database management systems (RDBMS).,TRUE,"systems rdbms,database examples,relational database"
Write a simple SQL query to select all users from a table named 'users' where the age is greater than 25.,TRUE,"sql,users age,age greater,select users"
"Explain the difference between `SELECT`, `UPDATE`, and `DELETE` in SQL.",TRUE,"sql,delete sql,update delete,select update"
"What is Git, and why is it important in software development?",TRUE,"git,software development,git important"
"Explain the difference between `git commit`, `git push`, and `git pull`.",TRUE,"commit git,git push,git commit"
"Describe a typical software development lifecycle (SDLC) model. (e.g., Waterfall, Agile).",TRUE,"development lifecycle,waterfall, agile,lifecycle sdlc,sdlc,software development"
"Walk me through one of your academic projects. Describe the problem you were solving, your approach, the technologies you used, and any challenges you faced.",TRUE,"approach technologies,academic projects,projects"
Explain the difference between a list and a tuple in Python.  When would you use one over the other?,TRUE,"tuple python,list tuple,python,tuple"
Describe the concept of loops (for and while) in Python. Provide a simple example of each.,TRUE,"loops python,python,loops"
Explain what a function is and how you would define and call a function in Python.  Give an example.,FALSE,"function python,python,explain function,define function"
"What is object-oriented programming (OOP)? Explain the four main principles of OOP (encapsulation, inheritance, polymorphism, abstraction).",TRUE,"four,programming oop,object oriented,oop,oop explain"
"Have you worked with any Python libraries? (e.g., NumPy, Pandas, Requests). If so, describe your experience with one.",FALSE,"python,python libraries,libraries numpy,pandas requests"
"Explain the concept of exception handling in Python using `try`, `except`, and `finally` blocks.  Give a simple example.",TRUE,"handling python,exception handling,using try"
What is a module in Python? How do you import and use a module?,FALSE,"use module,python import,module python"
"What is your understanding of version control systems, particularly Git? Have you used Git in any of your projects?",TRUE,"version control,particularly git,git projects,git"
"Walk me through one of your academic projects that involved Python programming. Describe your role, the challenges you faced, and what you learned.",FALSE,"python programming,python,involved python"
"In your projects, how did you approach debugging and testing your code? What strategies did you use to ensure the quality of your work?",FALSE,"debugging,debugging testing,approach debugging"
"Tell me about a time you worked on a team project. What was your role, and what did you learn from the experience?",FALSE,"worked team,team project,project role"
"Describe a situation where you faced a challenging problem while working on a project. How did you approach it, and what was the outcome?",FALSE,"challenging,working project,faced challenging"
"Why are you interested in this Python Developer position, and what are your career goals?",FALSE,"python developer,interested python,python"
How do you handle pressure and tight deadlines?,TRUE,"deadlines,handle pressure,tight deadlines"
Can you explain the difference between a compiler and an interpreter?  Give an example of a language that uses each.,TRUE,"compiler interpreter,interpreter example,interpreter"
Describe the concept of an array and a linked list. What are the advantages and disadvantages of each?,TRUE,"array linked,list advantages,linked list"
"Explain the difference between inline, block, and inline-block elements in CSS.  Give examples of when you might use each.",FALSE,"block inline,inline block,difference inline,css"
"What is the difference between `let`, `const`, and `var` in JavaScript? When would you choose to use each one?",TRUE,"let const,javascript,const var,var javascript"
"Tell me about a front-end project you're particularly proud of.  Describe your role, the technologies used, any challenges you faced, and what you learned from the experience.",FALSE,"end project,proud role,proud"
"Describe a situation where you had to work collaboratively on a project.  What was your role, and how did you contribute to the team's success?",FALSE,"collaboratively project,work collaboratively,project role"
"Why are you interested in this role, and how do you see yourself contributing to our team?",FALSE,"role,contributing team,role contributing"
What steps do you take to ensure effective communication with team members?,FALSE,"communication team,communication,effective communication"
Explain the difference between an array and a linked list.  When would you choose one over the other?,TRUE,"array linked,array,one,linked list"
What is the difference between `==` and `equals()` in Java (or your preferred language)? Give an example.,FALSE,"equals,equals java,java,difference equals"
Describe a time you debugged a particularly challenging piece of code. What was your approach?,FALSE,"time debugged,debugged particularly,debugged"
"If you listed experience with Python, explain what is the concept of a class and how to define a simple class in Python?",FALSE,"python explain,python,class python"
"If you listed experience with SQL, write a simple SQL query to retrieve data from a table.  (Adapt based on candidate's claimed SQL knowledge)",FALSE,"adapt,sql,claimed sql,sql knowledge"
"If you listed experience with JavaScript, what are some common JavaScript frameworks or libraries you've used or are familiar with?",FALSE,"common javascript,javascript,javascript common,javascript frameworks"
"Walk me through your most challenging academic project. What were the biggest hurdles you faced, and how did you overcome them? What did you learn from this experience?",FALSE,"challenging,biggest hurdles,challenging academic"
"Tell me about a time you had to work in a team on a project. What was your role, and what were the challenges you faced in collaboration? How did you resolve any conflicts?",FALSE,"team project,project role,faced collaboration"
"Why are you interested in this specific role at our company? What are your career goals, and how does this position fit into your plan?",FALSE,"specific role,company career,role company"
Describe your preferred work style. Do you prefer working independently or as part of a team? Explain your strengths and weaknesses.,FALSE,"work style,independently team,working independently"
"Our company values [insert 2-3 company values e.g., innovation, collaboration, customer focus].  Can you give me an example of a time you demonstrated one of these values?",FALSE,"one,values innovation,2-3,company values,values"
Can you explain the difference between a compiler and an interpreter?  Give an example of a language that uses each.,TRUE,"compiler interpreter,interpreter example,interpreter"
Describe the concept of an algorithm and provide a simple example of an algorithm you've used or encountered.,TRUE,"algorithm provide,example algorithm,algorithm"
"If you were working with Python, how would you handle exceptions to prevent your program from crashing?  Give a simple code example.",FALSE,"program crashing,exceptions prevent,python,handle exceptions"
Write a simple SQL query to retrieve all rows from a table named 'Customers' where the 'Country' column is equal to 'USA'.,TRUE,"sql query,country column,usa,customers country,sql"
"Describe one of your academic projects.  What was your role, what challenges did you face, and what did you learn from the experience?",FALSE,"projects,academic projects,academic,one"
"During your project, did you encounter any disagreements with your team members? How did you resolve them?",FALSE,"disagreements,encounter disagreements,disagreements team"
Tell me about a time you had to explain a complex technical concept to someone without a technical background. How did you approach it?,FALSE,"concept technical,technical concept,complex technical"
Why are you interested in working for [Company Name]?,TRUE,"working company,interested working,company"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,TRUE,"compiled language,compilation interpretation,interpreted language"
Describe the concept of an algorithm and give a simple example of an algorithm you might use in everyday life.,FALSE,"example algorithm,algorithm use,algorithm simple"
"Assuming you are familiar with Python, explain the difference between a list and a tuple. When would you choose one over the other?",FALSE,"python explain,python,one,list tuple,tuple choose"
Write a simple SQL query to select all rows from a table named 'Customers' where the 'Country' column is equal to 'USA'.,TRUE,"sql query,country column,usa,customers country,sql"
"Walk me through one of your academic projects. Explain your role, the challenges you faced, and what you learned from the experience.",TRUE,"walk academic,academic projects,academic"
"In your project, did you work as part of a team? Describe your role and how you collaborated with your teammates.  Did you encounter any conflicts, and if so, how did you resolve them?",FALSE,"team role,role collaborated,collaborated teammates"
Tell me about a time you had to explain a complex technical concept to someone who wasn't technically proficient. How did you approach it?,FALSE,"technical concept,complex technical,explain complex"
Why are you interested in working for [Company Name]?,TRUE,"working company,interested working,company"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,TRUE,"compiled language,compilation interpretation,interpreted language"
"What are the basic data types in your preferred programming language (e.g., Java, Python, C++)? Explain how they are used.",TRUE,"basic data,programming language,java,data types"
Describe the concept of an algorithm and give a simple example of an algorithm you have encountered.,TRUE,"example algorithm,algorithm,algorithm simple"
Explain what a function/method is and its purpose in programming. Provide a simple example in your preferred programming language.,FALSE,"explain function,function method,method purpose"
"What is a relational database? What are tables, rows, and columns in a relational database?",TRUE,"database tables,database,relational database"
Write a simple SQL query to select all rows from a table named 'Students' where the 'GPA' column is greater than 3.5.,TRUE,"students gpa,gpa,greater than 3.5,gpa column,select rows"
"What is the difference between the SQL commands `SELECT`, `INSERT`, `UPDATE`, and `DELETE`?",TRUE,"difference sql,update delete,sql commands,sql"
Explain the concept of primary keys and foreign keys in a relational database. Why are they important?,TRUE,"primary keys,foreign keys,keys relational"
What is a database index and how can it improve query performance?,TRUE,"database index,index improve,index"
"What is Git, and why is it important in software development?",TRUE,"git,software development,git important"
"Explain the difference between `git commit`, `git push`, and `git pull`.",TRUE,"commit git,git push,git commit"
What are the main principles of Object-Oriented Programming in Java?,TRUE,"object oriented,java,programming java,object-oriented programming"
"Describe a typical software development lifecycle (SDLC) model. (e.g., Waterfall, Agile).",TRUE,"development lifecycle,waterfall, agile,lifecycle sdlc,sdlc,software development"
"Walk me through one of your academic projects.  Explain the problem you solved, your approach, and the technologies you used.",TRUE,"approach technologies,academic projects,technologies"
"What was your role in this project, and what challenges did you face? How did you overcome them?",TRUE,"project challenges,role project,challenges"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,TRUE,"compiled language,compilation interpretation,interpreted language"
Describe the concept of an algorithm and provide a simple algorithm for finding the largest number in a list of numbers.,TRUE,"finding largest,algorithm,largest number"
"Let's say you're using [Candidate's preferred language - e.g., Python].  How would you handle exceptions (errors) in your code? Give a simple example.",FALSE,"exceptions,exceptions errors,candidate,handle exceptions"
Write a simple SQL query to retrieve all rows from a table named 'Customers' where the 'City' column is equal to 'London'.,TRUE,"customers city,london,city column,sql,retrieve rows"
"Can you describe one of your academic projects? Focus on your role, the challenges you faced, and the technologies you used. What was your biggest learning from this project?",FALSE,"academic projects,projects,learning project"
Explain the difference between a compiler and an interpreter.  Give an example of a language that uses each.,TRUE,"compiler interpreter,interpreter example,interpreter"
"What are the basic data types in your preferred programming language (e.g., Java, Python, C++)?  Give examples of each.",TRUE,"basic data,programming language,java,data types"
"Describe the concept of an algorithm and give a simple example of an algorithm you've used or implemented (e.g., searching for an element in an array).",FALSE,"example algorithm,algorithm,algorithm simple"
What is a relational database?  What are some common relational database management systems (RDBMS)?,TRUE,"systems rdbms,database management,relational database"
Write a simple SQL query to select all rows from a table named 'Students' where the 'GPA' column is greater than 3.5.,TRUE,"students gpa,gpa,greater than 3.5,gpa column,select rows"
Explain the difference between a primary key and a foreign key in a relational database.,TRUE,"primary key,foreign key,relational database"
"What is Git? Explain the common Git commands you are familiar with (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`, `git branch`).",TRUE,"git explain,git,commit git,git commands"
"Describe a typical software development lifecycle (SDLC).  What are some common methodologies used (e.g., Agile, Waterfall)?",TRUE,"development lifecycle,lifecycle sdlc,sdlc,software development,agile"
How do you resolve merge conflicts when using Git?,FALSE,"using git,git,resolve merge,merge conflicts"
"Walk me through one of your academic projects.  Explain the problem you were solving, your approach, the technologies you used, and any challenges you faced.",TRUE,"approach technologies,academic projects,projects"
Explain the difference between `==` and `.equals()` in Java.  Give an example.,TRUE,"equals,equals java,java,difference equals"
How does Java achieve platform independence?,TRUE,"does java,java,platform independence"
What are the different data types in Java?  Give examples of when you might use each.,TRUE,"java,types java,data types,java examples"
"Describe the concept of object-oriented programming (OOP) and its four main principles (Abstraction, Encapsulation, Inheritance, Polymorphism). Give a simple example.",TRUE,"programming oop,object oriented,oriented programming,four"
What is an exception in Java? How do you handle exceptions using `try-catch` blocks?,FALSE,"java,handle exceptions,exception java,exceptions using"
What is the difference between a List and a Set in Java? When would you choose one over the other?,FALSE,"one,set java,java,java choose,list set"
Explain your understanding of Java Collections Framework. Name at least three common implementations and their use cases.,FALSE,"at least three,collections,java collections framework,java collections,collections framework"
"Walk me through a significant academic project you've worked on.  Describe your role, the challenges you faced, and what you learned from the experience.  Focus on the technical aspects and your problem-solving approach.",FALSE,"significant academic,academic project,academic,focus"
"Tell me about a time you worked effectively as part of a team. What was your role, and what challenges did you overcome together?",TRUE,"team role,role challenges,effectively team"
Describe your preferred work style and environment.  How do you manage your time and prioritize tasks?,FALSE,"time prioritize,manage time,prioritize tasks"
"Why are you interested in this Java Developer role, and what are your career goals?",FALSE,"java developer,developer role,java,interested java"
"Tell me about a time you faced a challenging situation. How did you handle it, and what did you learn from the experience?",FALSE,"challenging,faced challenging,challenging situation"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,TRUE,"javascript,difference javascript,javascript equivalent"
What are the common data structures you're familiar with? Describe one and its use cases.,FALSE,"common data,data,data structures"
Explain the concept of Object-Oriented Programming (OOP) and mention at least two of its main principles.,TRUE,"object-oriented programming,programming oop,object oriented,oriented programming,at least two"
What is a relational database?  Can you give an example of a popular Relational Database Management System (RDBMS)?,TRUE,"database management,database example,relational database management system,relational database"
Write a simple SQL query to select all rows from a table named 'Users' where the 'age' column is greater than 25.,TRUE,"simple sql,sql,age column,users age"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands.",TRUE,"sql,delete sql,sql commands,update delete"
What is Git?  Why is it important for software development?,TRUE,"git,software development,git important"
Describe the typical steps involved in a software development lifecycle (SDLC).,TRUE,"software development,development lifecycle,lifecycle sdlc,sdlc"
"Explain the difference between `git add`, `git commit`, and `git push`.",TRUE,"commit git,git push,git commit"
"Walk me through one of your academic projects. Describe the problem you solved, the technologies you used, and any challenges you faced.",FALSE,"academic projects,technologies,solved technologies"
What is the purpose of the 'final' keyword in Java? Give examples of where it can be used.,TRUE,"keyword java,final keyword,java,purpose final"
How does exception handling work in Java? Can you explain the difference between checked and unchecked exceptions?,TRUE,"java,does exception,exception handling,unchecked exceptions"
"What are Java Collections, and how do they differ from arrays?",FALSE,"java collections,collections,collections differ"
Can you explain the concept of Java interfaces and how they are used?,FALSE,"java interfaces,interfaces,java,interfaces used"
What are the differences between HashMap and Hashtable in Java?,TRUE,"hashtable java,hashtable,hashmap hashtable,java,differences hashmap"
What is the use of the 'synchronized' keyword in Java? How does it affect thread safety?,FALSE,"synchronized,use synchronized,synchronized keyword,java"
Can you describe what garbage collection is in Java and how it works?,TRUE,"garbage,garbage collection,java,collection java"
"Can you explain the difference between JDK, JRE, and JVM?",TRUE,"jdk jre,jre jvm,jre,difference jdk,jdk"
What are the main principles of Object-Oriented Programming in Java?,TRUE,"object oriented,java,programming java,object-oriented programming"
How does garbage collection work in Java? Can you name a few garbage collection algorithms?,TRUE,"java garbage,garbage collection,does garbage,java"
What is the role of the 'main' method in a Java application?,FALSE,"main method,method java,java application,java"
Can you explain the concept of method overloading and method overriding with examples?,TRUE,"method overriding,method overloading,overloading method"
What is polymorphism in Java and how can it be achieved?,FALSE,"java achieved,java,polymorphism,polymorphism java"
Please describe the differences between an abstract class and an interface in Java.,TRUE,"class interface,java,interface java,abstract class"
How do you handle exceptions in Java? Can you differentiate between checked and unchecked exceptions?,FALSE,"java,handle exceptions,unchecked exceptions,exceptions java"
What are Java Collections? Can you name some commonly used collections?,TRUE,"java collections,used collections,collections commonly"
Explain the significance of the 'static' keyword in Java.,TRUE,"significance static,static keyword,java,static"
What is multithreading and how is it implemented in Java?,TRUE,"multithreading implemented,implemented java,java,multithreading"
Can you explain the concept of synchronization in Java?,FALSE,"java,concept synchronization,synchronization,synchronization java"
"Can you explain the differences between JDK, JRE, and JVM?",TRUE,"differences jdk,jdk jre,jre jvm,jre,jdk"
What are the main principles of Object-Oriented Programming in Java?,TRUE,"object oriented,java,programming java,object-oriented programming"
What is the purpose of the 'final' keyword in Java? Can you provide examples of its usage?,FALSE,"keyword java,final keyword,java,purpose final"
"How does memory management work in Java, specifically with respect to the garbage collection process?",FALSE,"collection process,memory management,garbage collection,java"
Can you describe the difference between checked and unchecked exceptions in Java?,TRUE,"java,checked unchecked,unchecked exceptions,exceptions java"
What are interfaces and abstract classes in Java? When would you use one over the other?,TRUE,"interfaces abstract,abstract classes,interfaces,java"
"What is a Java Collection? Can you explain the difference between List, Set, and Map interfaces?",FALSE,"map,collection explain,list set,java collection"
"What is multithreading in Java, and how do you implement it?",FALSE,"java,multithreading,multithreading java,java implement"
Can you discuss the significance of the 'static' keyword when used with methods and variables?,FALSE,"significance static,static keyword,static"
Explain the difference between compilation and interpretation in the context of programming languages. Give examples of languages that use each approach.,TRUE,"programming languages,compilation interpretation,difference compilation"
"What are the different data types commonly used in programming?  Provide examples in a language you are familiar with (e.g., Java, Python, C++).",FALSE,"types commonly,java,data types,types"
"Describe the concept of an algorithm. Can you explain a simple algorithm, such as a sorting algorithm (e.g., bubble sort), in your own words?",FALSE,"algorithm explain,algorithm sorting,algorithm bubble"
"What is a relational database?  What are tables, rows, and columns in the context of a relational database?",TRUE,"database tables,database,relational database"
Write a simple SQL query to select all rows from a table named 'Students' where the 'GPA' is greater than 3.5.,TRUE,"students gpa,gpa,select rows,3.5,gpa greater"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` commands in SQL.",TRUE,"select insert,commands sql,update delete,sql"
What is Git and why is it used in software development?,TRUE,"git,git used,software development"
"Describe the common Git commands you're familiar with (e.g., `clone`, `add`, `commit`, `push`, `pull`, `branch`, `merge`).",FALSE,"git,git commands,common git"
Explain briefly what you understand by the Software Development Lifecycle (SDLC).  Name a common SDLC methodology.,FALSE,"development lifecycle,the software development lifecycle,lifecycle sdlc,sdlc,sdlc methodology"
"Describe one of your academic projects. Explain your role, the technologies used, and any challenges you faced and how you overcame them.  Focus on what you learned from the experience.",TRUE,"projects explain,academic projects,projects,one"
Can you explain the difference between an array and a linked list?  What are the advantages and disadvantages of each?,TRUE,"array linked,list advantages,linked list"
"Explain what an algorithm is and give a simple example of one. (e.g., searching for a specific number in a list)",TRUE,"one,explain algorithm,algorithm,algorithm simple"
"What is the difference between `let`, `const`, and `var` in JavaScript? When would you use each one?",TRUE,"javascript,const var,var,var javascript"
Explain the concept of asynchronous programming in JavaScript. Give an example using `async/await` or Promises.,FALSE,"javascript,asynchronous,asynchronous programming,concept asynchronous"
Write a simple SQL query to select all users from a table named 'users' where the age is greater than 25.,TRUE,"sql,users age,age greater,select users"
What is the difference between `INNER JOIN` and `LEFT JOIN` in SQL?,TRUE,"sql,join sql,left join,inner join"
"Can you describe one of your academic projects that involved frontend development?  What technologies did you use, what were the challenges, and what did you learn from the experience?",FALSE,"frontend,involved frontend,frontend development"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,TRUE,"compiled language,compilation interpretation,interpreted language"
"What is an algorithm? Can you describe a simple algorithm, like finding the largest number in a list?",TRUE,"algorithm,algorithm like,algorithm simple"
What are the different data types commonly used in JavaScript? Give examples of each.,TRUE,"javascript,javascript examples,data types"
Explain the concept of DOM manipulation in JavaScript.  How can you change the text content of an HTML element using JavaScript?,TRUE,"manipulation javascript,dom manipulation,javascript change,html,dom"
What is a relational database? What is a SQL query?  Give a simple example of a SQL query to select all rows from a table named 'users'.,TRUE,"database sql,example sql,sql,relational database"
"What are the differences between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` statements in SQL?",TRUE,"sql,select insert,update delete,delete statements"
"Can you walk me through one of your academic projects that involved front-end development?  Describe the project, your role, the technologies used, and any challenges you faced.",TRUE,"development project,academic projects,projects,one"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,TRUE,"compiled language,compilation interpretation,interpreted language"
"What is an algorithm? Can you describe a simple algorithm, like finding the largest number in a list?",TRUE,"algorithm,algorithm like,algorithm simple"
What are the different data types you commonly use in JavaScript? Give examples of each.,TRUE,"javascript,javascript examples,data types"
"Explain the difference between `let`, `const`, and `var` in JavaScript.",TRUE,"javascript,const var,var,var javascript"
What is a relational database?  What is a SQL query? Give a simple example of a SQL query to retrieve data from a table.,TRUE,"database sql,example sql,sql,relational database"
"What is the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands?",TRUE,"sql,delete sql,sql commands,update delete"
"Can you describe one of your academic projects that involved front-end development?  What technologies did you use? What challenges did you face, and how did you overcome them? What was your role in the project?",FALSE,"academic projects,projects,projects involved"
